,latitude,longitude
2022-05-12 19:30:39,78.083701,-8.019415
2022-05-12 20:00:38,78.082455,-8.028508
2022-05-12 20:30:39,78.081383,-8.037184
2022-05-12 21:00:38,78.080405,-8.045077
2022-05-12 21:30:27,78.079512,-8.052045
2022-05-12 22:00:39,78.078705,-8.058097
2022-05-12 22:30:38,78.078009,-8.063664
2022-05-12 23:00:38,78.077276,-8.068377
2022-05-12 23:30:39,78.076535,-8.072396
2022-05-13 00:00:39,78.07577,-8.075879
2022-05-13 00:30:29,78.074945,-8.079367
2022-05-13 01:00:39,78.073945,-8.083037
2022-05-13 01:30:38,78.072874,-8.086858
2022-05-13 02:00:38,78.071644,-8.090941
2022-05-13 02:30:39,78.070128,-8.095438
2022-05-13 03:00:38,78.0685,-8.100298
2022-05-13 03:30:27,78.066806,-8.106228
2022-05-13 04:00:38,78.065048,-8.11308
2022-05-13 04:30:38,78.06329,-8.120783
2022-05-13 05:00:40,78.061451,-8.129907
2022-05-13 05:30:38,78.059601,-8.140142
2022-05-13 06:00:39,78.057821,-8.150794
2022-05-13 06:30:27,78.056128,-8.161703
2022-05-13 07:00:39,78.054443,-8.172916
2022-05-13 07:30:39,78.052873,-8.183717
2022-05-13 08:00:38,78.051428,-8.194279
2022-05-13 08:30:38,78.05012,-8.204342
2022-05-13 09:00:37,78.048928,-8.214061
2022-05-13 09:30:26,78.047951,-8.2229
2022-05-13 10:00:37,78.047154,-8.230695
2022-05-13 10:30:38,78.046374,-8.237078
2022-05-13 11:00:38,78.045564,-8.242713
2022-05-13 11:30:38,78.044694,-8.247915
2022-05-13 12:00:38,78.043749,-8.252502
2022-05-13 12:30:27,78.042704,-8.256304
2022-05-13 13:00:37,78.041536,-8.260231
2022-05-13 13:30:40,78.040151,-8.264101
2022-05-13 14:00:39,78.038568,-8.2682
2022-05-13 14:30:39,78.03685,-8.272835
2022-05-13 15:00:39,78.035005,-8.277784
2022-05-13 15:30:27,78.033074,-8.283307
2022-05-13 16:00:39,78.031014,-8.290198
2022-05-13 16:30:37,78.028882,-8.298352
2022-05-13 17:00:39,78.026735,-8.307548
2022-05-13 17:30:38,78.024502,-8.317322
2022-05-13 18:00:38,78.022226,-8.327849
2022-05-13 18:30:27,78.020089,-8.339545
2022-05-13 19:00:38,78.018017,-8.351668
2022-05-13 19:30:38,78.016036,-8.362873
2022-05-13 20:00:38,78.014264,-8.374471
2022-05-13 20:30:38,78.012609,-8.385385
2022-05-13 21:00:38,78.01119,-8.395616
2022-05-13 21:30:28,78.009897,-8.404405
2022-05-13 22:00:38,78.008684,-8.412664
2022-05-13 22:30:39,78.007577,-8.420372
2022-05-13 23:00:38,78.006521,-8.42724
2022-05-13 23:30:39,78.005522,-8.432984
2022-05-14 00:00:39,78.004502,-8.437937
2022-05-14 00:30:29,78.00345,-8.442253
2022-05-14 01:00:38,78.002333,-8.445967
2022-05-14 01:30:38,78.001069,-8.449399
2022-05-14 02:00:38,77.999605,-8.452874
2022-05-14 02:30:40,77.997909,-8.456518
2022-05-14 03:00:39,77.996018,-8.460534
2022-05-14 03:30:27,77.994021,-8.464799
2022-05-14 04:00:39,77.991843,-8.470168
2022-05-14 04:30:38,77.989525,-8.476271
2022-05-14 05:00:39,77.987077,-8.483005
2022-05-14 05:30:37,77.984564,-8.49026
2022-05-14 06:00:38,77.981924,-8.498153
2022-05-14 06:30:27,77.97934,-8.506586
2022-05-14 07:00:37,77.976747,-8.515377
2022-05-14 07:30:38,77.974252,-8.524665
2022-05-14 08:00:39,77.97201,-8.533615
2022-05-14 08:30:40,77.969876,-8.542542
2022-05-14 09:00:38,77.967942,-8.551329
2022-05-14 09:30:27,77.966198,-8.559816
2022-05-14 10:00:40,77.964591,-8.56801
2022-05-14 10:30:38,77.96311,-8.57549
2022-05-14 11:00:39,77.961699,-8.582344
2022-05-14 11:30:38,77.960413,-8.588216
2022-05-14 12:00:38,77.959212,-8.593215
2022-05-14 12:30:27,77.958042,-8.597405
2022-05-14 13:00:38,77.956739,-8.601101
2022-05-14 13:30:39,77.955311,-8.604002
2022-05-14 14:00:38,77.953858,-8.606701
2022-05-14 14:30:38,77.952504,-8.610676
2022-05-14 15:00:39,77.950971,-8.614579
2022-05-14 15:30:29,77.9492,-8.618607
2022-05-14 16:00:39,77.947192,-8.623105
2022-05-14 16:30:38,77.945087,-8.628094
2022-05-14 17:00:38,77.942757,-8.633119
2022-05-14 17:30:38,77.940324,-8.638772
2022-05-14 18:00:39,77.937925,-8.644762
2022-05-14 18:30:29,77.93552,-8.65092
2022-05-14 19:00:37,77.933072,-8.657329
2022-05-14 19:30:38,77.930533,-8.663679
2022-05-14 20:00:37,77.928029,-8.670309
2022-05-14 20:30:39,77.925672,-8.676977
